,Date,Name,Split,Amount
,08/11/2017,Dispatch Media Group,0102 · Huntington Operating,"2,085.00"
,08/11/2017,Indeed,2063 · Fidelity Visa Signature Card,500.66
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/11/2017,CraigsList,2064 · Fidelity 529 College Rewards,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/13/2017,Snagajob,2062 · Chase-United Mileage Plus,99.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/14/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/14/2017,Indeed,2064 · Fidelity 529 College Rewards,26.90
,08/14/2017,CraigsList,2064 · Fidelity 529 College Rewards,25.00
,08/14/2017,CraigsList,2064 · Fidelity 529 College Rewards,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/14/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/15/2017,Indeed,2063 · Fidelity Visa Signature Card,504.73
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/16/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
