AIdent,Activation Day,Branch,City,How Heard Of
209459,11/6/2017,05-Elyria,lorain,Friend/Relative Referral
209460,11/6/2017,12-Chicago,cicero,Friend/Relative Referral
209461,11/6/2017,08-Columbus West,columbus,Friend/Relative Referral
209462,11/6/2017,07-Columbus East,columbus,Walk-In
209463,11/6/2017,11-Florence,Cincinnati,Other web site
209464,11/6/2017,06-Akron,Akron,Other web site
209465,11/6/2017,14-Louisville,Sheperdsville,Craigslist
209466,11/6/2017,08-Columbus West,grove city,Friend/Relative Referral
209467,11/6/2017,09-Lancaster,Lancaster,Newspaper Ad
209468,11/6/2017,12-Chicago,Frankfort,Newspaper Ad
209469,11/6/2017,14-Louisville,Louisville,Walk-In
209470,11/6/2017,10-West Chester,Cincinnati,Walk-In
209471,11/6/2017,14-Louisville,Louisville,Newspaper Ad
209472,11/6/2017,14-Louisville,Louisville,Newspaper Ad
209473,11/6/2017,14-Louisville,Brandenburg,Craigslist
209474,11/6/2017,14-Louisville,brandenburg,Craigslist
209475,11/6/2017,06-Akron,Akron,Indeed
209476,11/6/2017,05-Elyria,Lorain,Friend/Relative Referral
209477,11/6/2017,05-Elyria,Elyria ,Walk-In
209478,11/6/2017,05-Elyria,lorain,Friend/Relative Referral
209479,11/6/2017,07-Columbus East,Whitehall,Friend/Relative Referral
209480,11/6/2017,08-Columbus West,columbus,Friend/Relative Referral
209481,11/6/2017,03-Independence,Lakewood,Other web site
209482,11/6/2017,03-Independence,Cleveland,Friend/Relative Referral
209483,11/6/2017,07-Columbus East,Waverly,Indeed
209484,11/6/2017,03-Independence,East Cleveland,Indeed
209485,11/6/2017,14-Louisville,Louisville,Walk-In
209486,11/6/2017,14-Louisville,louisville,Walk-In
209487,11/6/2017,03-Independence,,Advanced Careers
209488,11/6/2017,14-Louisville,louisville,Indeed
209489,11/6/2017,14-Louisville,Louisville,Indeed
209490,11/6/2017,07-Columbus East,Columbus ,Friend/Relative Referral
209491,11/6/2017,11-Florence,Crittenden,Friend/Relative Referral
209492,11/6/2017,06-Akron,Akron,Indeed
209493,11/6/2017,06-Akron,Youngstown,Indeed
209494,11/6/2017,11-Florence,elsmere,Friend/Relative Referral
209495,11/6/2017,12-Chicago,Joliet,
209496,11/6/2017,09-Lancaster,lancaster,Indeed
209497,11/6/2017,14-Louisville,bardstown,Walk-In
209498,11/6/2017,12-Chicago,Joliet,Friend/Relative Referral
209499,11/6/2017,12-Chicago,Joliet,Walk-In
209500,11/6/2017,07-Columbus East,Columbus,Walk-In
209501,11/6/2017,11-Florence,florence,Walk-In
209502,11/6/2017,12-Chicago,Phoenix,Friend/Relative Referral
209503,11/6/2017,08-Columbus West,columbus ,Friend/Relative Referral
209504,11/6/2017,08-Columbus West,Columbus ,Friend/Relative Referral
209505,11/6/2017,09-Lancaster,lancaster,Walk-In
209506,11/6/2017,07-Columbus East,Columbus,Other web site
209507,11/6/2017,11-Florence,Florence,Craigslist
209508,11/6/2017,08-Columbus West,columbus,Friend/Relative Referral
209509,11/6/2017,12-Chicago,Chicago,Friend/Relative Referral
209510,11/6/2017,03-Independence,cleveland,Craigslist
209511,11/6/2017,03-Independence,maple,
209512,11/6/2017,11-Florence,Union,Friend/Relative Referral
209514,11/6/2017,07-Columbus East,Columbus ,Friend/Relative Referral
209515,11/6/2017,06-Akron,Cuyahoga Falls,Other web site
209516,11/6/2017,14-Louisville,Louisville,Craigslist
209517,11/6/2017,05-Elyria,Lorain,
209518,11/6/2017,05-Elyria,Lorain,
209519,11/6/2017,09-Lancaster,Lancaster,Other web site
209520,11/6/2017,11-Florence,cincinnati,Walk-In
209521,11/6/2017,11-Florence,cincinnati,Walk-In
209522,11/6/2017,08-Columbus West,Columbus,Craigslist
209523,11/6/2017,14-Louisville,,Advanced Careers
209524,11/6/2017,11-Florence,independence ,
209526,11/6/2017,11-Florence,cincinnati,
209527,11/6/2017,11-Florence,Cincinnati ,
209528,11/6/2017,03-Independence,Cleveland ,Friend/Relative Referral
209529,11/6/2017,11-Florence,Cincinnati,
209530,11/6/2017,07-Columbus East,COLUMBUS,
209531,11/6/2017,07-Columbus East,COLUMBUS,
209532,11/6/2017,07-Columbus East,COLUMBUS,
209533,11/6/2017,07-Columbus East,COLUMBUS,
209534,11/6/2017,05-Elyria,Lorain,Indeed
209535,11/6/2017,07-Columbus East,Columbus,Craigslist
209536,11/6/2017,06-Akron,Wadsworth,Newspaper Ad
209537,11/6/2017,05-Elyria,Lorain,Indeed
209538,11/6/2017,08-Columbus West,Galloway,Walk-In
209539,11/6/2017,05-Elyria,Lorain,Indeed
209540,11/6/2017,05-Elyria,Elyria,Friend/Relative Referral
209541,11/6/2017,05-Elyria,Elyria ,Friend/Relative Referral
209542,11/7/2017,08-Columbus West,Columbus ,Friend/Relative Referral
209543,11/7/2017,06-Akron,Aurora,Other web site
209544,11/7/2017,07-Columbus East,Columbus,
209545,11/7/2017,05-Elyria,Elyria,Newspaper Ad
209546,11/7/2017,07-Columbus East,Columbus,
209547,11/7/2017,14-Louisville,Louisville,
209548,11/7/2017,12-Chicago,Chicago,
209549,11/7/2017,06-Akron,Akron,
209550,11/7/2017,12-Chicago,Park Forest,
209551,11/7/2017,14-Louisville,Louisville,Walk-In
209552,11/7/2017,12-Chicago,Chicago,
209553,11/7/2017,03-Independence,Cleveland,Friend/Relative Referral
209554,11/7/2017,12-Chicago,Maywood,
209555,11/7/2017,07-Columbus East,zanesville,Indeed
209556,11/7/2017,12-Chicago,Chicago,
209557,11/7/2017,12-Chicago,Chicago,
209558,11/7/2017,11-Florence,cincinnati,
209559,11/7/2017,12-Chicago,Chicago,
209560,11/7/2017,12-Chicago,Chicago,
209561,11/7/2017,12-Chicago,Chicago,
209562,11/7/2017,12-Chicago,Chicago,
209563,11/7/2017,12-Chicago,Cicero,
209564,11/7/2017,14-Louisville,Louisville,Indeed
209565,11/7/2017,12-Chicago,Chicago,
209566,11/7/2017,14-Louisville,louisville,Friend/Relative Referral
209567,11/7/2017,12-Chicago,Chicago,
209568,11/7/2017,03-Independence,Cleveland,Indeed
209569,11/7/2017,03-Independence,Cleveland Hts,Walk-In
209570,11/7/2017,03-Independence,Cleveland,
209571,11/7/2017,05-Elyria,lorain,Friend/Relative Referral
209572,11/7/2017,03-Independence,cleveland hts,Walk-In
209573,11/7/2017,12-Chicago,Chicago,
209574,11/7/2017,03-Independence,cleveland,Friend/Relative Referral
209575,11/7/2017,12-Chicago,Tinley Park,
209576,11/7/2017,12-Chicago,Chicago,
209577,11/7/2017,11-Florence,Cincinnati ,
209578,11/7/2017,14-Louisville,louisville,Indeed
209579,11/7/2017,14-Louisville,Louisville,Indeed
209580,11/7/2017,12-Chicago,Chicago,
209581,11/7/2017,14-Louisville,louisville,Indeed
209582,11/7/2017,14-Louisville,Louisville,
209583,11/7/2017,12-Chicago,Glenwood,
209584,11/7/2017,14-Louisville,Louisville,Friend/Relative Referral
209585,11/7/2017,03-Independence,cleveland,Indeed
209586,11/7/2017,07-Columbus East,columbus,Walk-In
209587,11/7/2017,07-Columbus East,reynoldsburg ,
209588,11/7/2017,14-Louisville,Louisville,Other web site
209589,11/7/2017,03-Independence,maple hts,
209590,11/7/2017,08-Columbus West,Columbus ,Walk-In
209591,11/7/2017,03-Independence,Cleveland ,Indeed
209592,11/7/2017,05-Elyria,North Olmsted,Zip Recruiter
209593,11/7/2017,12-Chicago,woodridge,Craigslist
209594,11/7/2017,11-Florence,FLORENCE,Friend/Relative Referral
209595,11/7/2017,11-Florence,Florence,Friend/Relative Referral
209596,11/7/2017,05-Elyria,Strongsville,Indeed
209597,11/7/2017,03-Independence,North Olmsted,Indeed
209598,11/7/2017,14-Louisville,muldraugh ,Friend/Relative Referral
209599,11/7/2017,05-Elyria,elyria,Indeed
209600,11/7/2017,05-Elyria,Parma OH,Indeed
209601,11/7/2017,03-Independence,Warrensville Hts,Walk-In
209602,11/7/2017,05-Elyria,Elyria,Other web site
209603,11/7/2017,12-Chicago,Lockport ,Friend/Relative Referral
209604,11/7/2017,11-Florence,crittenden,Friend/Relative Referral
209605,11/7/2017,03-Independence,CLEVELAND,Craigslist
209606,11/7/2017,14-Louisville,Mt. Washington,Craigslist
209607,11/7/2017,05-Elyria,lorain,Walk-In
209608,11/7/2017,07-Columbus East,COLUMBUS,
209609,11/7/2017,05-Elyria,lorain,Friend/Relative Referral
209610,11/7/2017,05-Elyria,lorain,
209611,11/7/2017,03-Independence,Cleveland,Indeed
209612,11/7/2017,09-Lancaster,lancaster,Indeed
209613,11/7/2017,03-Independence,Shaker hts,Indeed
209614,11/7/2017,10-West Chester,Cincinnati,Indeed
209615,11/7/2017,10-West Chester,Cincinnati,Friend/Relative Referral
209616,11/7/2017,11-Florence,florence,Friend/Relative Referral
209617,11/7/2017,11-Florence,cincinnati,
209618,11/7/2017,07-Columbus East,COLUMBUS,
209619,11/7/2017,07-Columbus East,BLACKLICK,
209620,11/7/2017,07-Columbus East,COLUMBUS,
209621,11/7/2017,07-Columbus East,COLUMBUS,
209622,11/7/2017,12-Chicago,Matteson,
209623,11/7/2017,11-Florence,walton,Craigslist
209624,11/7/2017,12-Chicago,jeffersonville,Indeed
209625,11/7/2017,03-Independence,Chagrin Falls,Indeed
209626,11/7/2017,03-Independence,Chesterland,Craigslist
209627,11/7/2017,14-Louisville,elizabethtown,Craigslist
209628,11/7/2017,12-Chicago,Hazelcrest,Other web site
209629,11/7/2017,03-Independence,Garfield Hts,Walk-In
209630,11/7/2017,07-Columbus East,COLUMBUS,
209631,11/7/2017,06-Akron,Akron,Walk-In
209632,11/7/2017,14-Louisville,Louisville ,Friend/Relative Referral
209633,11/7/2017,14-Louisville,Louisville,Craigslist
209634,11/7/2017,09-Lancaster,lancaster,Friend/Relative Referral
209635,11/7/2017,03-Independence,cleveland,Craigslist
209636,11/7/2017,10-West Chester,Cincinnati,Craigslist
209637,11/7/2017,10-West Chester,Hamilton,Indeed
209638,11/7/2017,11-Florence,cincinnati ohio ,Friend/Relative Referral
209639,11/7/2017,07-Columbus East,Columbus,Friend/Relative Referral
209640,11/7/2017,03-Independence,Garfield Hts,Indeed
209641,11/7/2017,11-Florence,Warsaw ,Indeed
209642,11/7/2017,07-Columbus East,COLUMBUS,Other web site
209643,11/7/2017,03-Independence,Cleveland,Indeed
209644,11/7/2017,14-Louisville,Louisville ,Friend/Relative Referral
209645,11/7/2017,07-Columbus East,Columbus,
209646,11/7/2017,11-Florence,Morning View,Indeed
209647,11/7/2017,08-Columbus West,Columbus,Craigslist
209648,11/7/2017,14-Louisville,Louisville,Other web site
209649,11/7/2017,06-Akron,Akron,Indeed
209650,11/7/2017,07-Columbus East,Canal Winchester ,Indeed
209651,11/7/2017,03-Independence,Cleveland,Indeed
209652,11/7/2017,11-Florence,covington ,Friend/Relative Referral
209653,11/7/2017,14-Louisville,Radcliff,Craigslist
209654,11/7/2017,08-Columbus West,columbus,Walk-In
209655,11/7/2017,11-Florence,Glencoe,
209656,11/7/2017,05-Elyria,Lorain,
209657,11/7/2017,12-Chicago,chicago,Walk-In
209658,11/7/2017,12-Chicago,chicago,Craigslist
209659,11/7/2017,12-Chicago,chicago,Walk-In
209660,11/7/2017,12-Chicago,chicago,
209661,11/7/2017,05-Elyria,Sandusky ,Indeed
209662,11/7/2017,12-Chicago,Chicago,
209663,11/7/2017,12-Chicago,Oak Lawn,Friend/Relative Referral
209664,11/7/2017,06-Akron,MEDINA,Indeed
209665,11/7/2017,08-Columbus West,Columbus ,Walk-In
209666,11/7/2017,07-Columbus East,Columbus ,
209667,11/7/2017,11-Florence,Cynthiana ,Other web site
209668,11/7/2017,07-Columbus East,Columbus,Craigslist
209669,11/7/2017,08-Columbus West,Columbus ,Other web site
209670,11/7/2017,03-Independence,BrookPark,
209671,11/8/2017,07-Columbus East,columbus,Indeed
209672,11/8/2017,14-Louisville,Louisville,Craigslist
209673,11/8/2017,14-Louisville,Leitchfield,Craigslist
209674,11/8/2017,06-Akron,Akron ,Walk-In
209675,11/8/2017,08-Columbus West,,Advanced Careers
209676,11/8/2017,14-Louisville,Louisville,Walk-In
209677,11/8/2017,10-West Chester,Cincinnati,Friend/Relative Referral
209678,11/8/2017,03-Independence,cleveland,Friend/Relative Referral
209679,11/8/2017,14-Louisville,Louisville,Craigslist
209680,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209681,11/8/2017,07-Columbus East,columbus,Zip Recruiter
209682,11/8/2017,14-Louisville,Louisville,
209683,11/8/2017,05-Elyria,Elyria ,Indeed
209684,11/8/2017,06-Akron,Barberton,Indeed
209685,11/8/2017,14-Louisville,louisville,Craigslist
209686,11/8/2017,05-Elyria,Lorain,Walk-In
209687,11/8/2017,06-Akron,Cuyahoga Falls ,Craigslist
209688,11/8/2017,03-Independence,city,Other web site
209689,11/8/2017,03-Independence,Cleveland,Friend/Relative Referral
209690,11/8/2017,07-Columbus East,columbus,Walk-In
209691,11/8/2017,14-Louisville,Louisville,Craigslist
209692,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209693,11/8/2017,07-Columbus East,Gahanna,Friend/Relative Referral
209694,11/8/2017,03-Independence,Seven Hills,Friend/Relative Referral
209695,11/8/2017,14-Louisville,Louisville,Other web site
209696,11/8/2017,10-West Chester,Cincinnati,Craigslist
209697,11/8/2017,11-Florence,erlanger,Friend/Relative Referral
209698,11/8/2017,03-Independence,CLEVELAND,Craigslist
209699,11/8/2017,10-West Chester,cincinnati,Indeed
209700,11/8/2017,06-Akron,louisville,Craigslist
209701,11/8/2017,11-Florence,cincinnati ohio ,Friend/Relative Referral
209702,11/8/2017,10-West Chester,Cincinnati,Friend/Relative Referral
209703,11/8/2017,11-Florence,cincinnati,Friend/Relative Referral
209704,11/8/2017,05-Elyria,zz,
209705,11/8/2017,03-Independence,Cleveland,Walk-In
209706,11/8/2017,07-Columbus East,Columbus,Craigslist
209707,11/8/2017,14-Louisville,CRESTWOOD,Indeed
209708,11/8/2017,14-Louisville,new albany ,Friend/Relative Referral
209709,11/8/2017,05-Elyria,Lorain,
209710,11/8/2017,14-Louisville,Louisville,Craigslist
209711,11/8/2017,11-Florence,Lawrenceburg,Indeed
209712,11/8/2017,11-Florence,ludlow,Friend/Relative Referral
209713,11/8/2017,06-Akron,mogadore ,Craigslist
209714,11/8/2017,11-Florence,Florence,Friend/Relative Referral
209715,11/8/2017,14-Louisville,Louisville ,Friend/Relative Referral
209716,11/8/2017,11-Florence,burlington,Friend/Relative Referral
209717,11/8/2017,10-West Chester,cincinnati,Friend/Relative Referral
209718,11/8/2017,14-Louisville,Louisville,Other web site
209719,11/8/2017,09-Lancaster,Lancaster,Friend/Relative Referral
209720,11/8/2017,12-Chicago,Chicago,Friend/Relative Referral
209721,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209722,11/8/2017,07-Columbus East,,Advanced Careers
209723,11/8/2017,07-Columbus East,columbus,Friend/Relative Referral
209724,11/8/2017,11-Florence,Lawrenceburg,Craigslist
209725,11/8/2017,12-Chicago,Chicago,
209726,11/8/2017,12-Chicago,Chicago,
209727,11/8/2017,06-Akron,Akron,Other web site
209728,11/8/2017,03-Independence,garfield hghts,Friend/Relative Referral
209729,11/8/2017,03-Independence,,Advanced Careers
209730,11/8/2017,03-Independence,garfield hts ,Walk-In
209731,11/8/2017,12-Chicago,Chicago,Walk-In
209732,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209733,11/8/2017,12-Chicago,Chicago,
209734,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209735,11/8/2017,12-Chicago,Chicago,
209736,11/8/2017,08-Columbus West,columbus,Walk-In
209737,11/8/2017,09-Lancaster,Lancaster,Walk-In
209738,11/8/2017,12-Chicago,Chicago,
209739,11/8/2017,12-Chicago,bolingbrook,Walk-In
209740,11/8/2017,12-Chicago,Chicago,
209741,11/8/2017,03-Independence,warrensville ,Indeed
209742,11/8/2017,12-Chicago,Chicago,
209743,11/8/2017,12-Chicago,Park Forest,
209744,11/8/2017,07-Columbus East,COLUMBUS,Advanced Careers
209745,11/8/2017,08-Columbus West,Columbus,Other web site
209746,11/8/2017,11-Florence,Cold Spring ,Indeed
209747,11/8/2017,14-Louisville,Louisville,Indeed
209748,11/8/2017,11-Florence,Cincinnati,Friend/Relative Referral
209749,11/8/2017,12-Chicago,Chicago,
209750,11/8/2017,12-Chicago,Chicago,
209751,11/8/2017,09-Lancaster,Lancaster,Indeed
209752,11/8/2017,08-Columbus West,Columbus,Walk-In
209753,11/8/2017,03-Independence,cleveland,Friend/Relative Referral
209754,11/8/2017,08-Columbus West,dublin,Craigslist
209755,11/8/2017,11-Florence,worthville,Friend/Relative Referral
209756,11/8/2017,11-Florence,Erlanger,Indeed
209757,11/8/2017,12-Chicago,Chicago,
209758,11/8/2017,12-Chicago,Waukegan,
209759,11/8/2017,11-Florence,Cincinnati,Walk-In
209760,11/8/2017,12-Chicago,Chicago,
209761,11/8/2017,11-Florence,cincinnati,Friend/Relative Referral
209762,11/8/2017,11-Florence,cincinnati,Friend/Relative Referral
209763,11/8/2017,14-Louisville,Louisville ,Craigslist
209764,11/8/2017,12-Chicago,Chicago,
209765,11/8/2017,12-Chicago,Chicago,
209766,11/8/2017,14-Louisville,Taylorsville,Indeed
209767,11/8/2017,12-Chicago,Dolton,
209768,11/8/2017,12-Chicago,Flossmoor,Newspaper Ad
209769,11/8/2017,03-Independence,Willoughby,Indeed
209770,11/8/2017,14-Louisville,Louisville,Indeed
209771,11/8/2017,12-Chicago,Chicago,
209772,11/8/2017,12-Chicago,Chicago,
209773,11/8/2017,12-Chicago,Evergreen Park,
209774,11/8/2017,12-Chicago,Chicago,
209775,11/8/2017,12-Chicago,Chicago,
209776,11/8/2017,11-Florence,williamstown,Walk-In
209777,11/8/2017,12-Chicago,Chicago Heights,
209778,11/8/2017,12-Chicago,Riverdale,
209779,11/8/2017,12-Chicago,Evergreen Park,
209780,11/8/2017,12-Chicago,Chicago,
209781,11/8/2017,12-Chicago,Park Forest,
209782,11/8/2017,12-Chicago,Chicago,
209783,11/8/2017,12-Chicago,Evergreen Park,
209784,11/8/2017,12-Chicago,Richton Park ,
209785,11/8/2017,12-Chicago,Chicago,
209786,11/8/2017,12-Chicago,South Holland,
209789,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209790,11/8/2017,12-Chicago,Chicago,
209791,11/8/2017,14-Louisville,Louisville,Friend/Relative Referral
209792,11/8/2017,12-Chicago,Country Club Hills ,
209793,11/8/2017,12-Chicago,Chicago Heights,
209794,11/8/2017,12-Chicago,Chicago,
209795,11/8/2017,12-Chicago,Chicago Heights,
209796,11/8/2017,12-Chicago,Chicago,
209798,11/8/2017,12-Chicago,Chicago,
209799,11/8/2017,12-Chicago,Sauk Village,
209800,11/8/2017,12-Chicago,Glenwood,
209801,11/8/2017,12-Chicago,University Park,
209802,11/8/2017,12-Chicago,Chicago,Indeed
209803,11/8/2017,12-Chicago,University Park ,
209804,11/8/2017,12-Chicago,Glenwood ,
209805,11/8/2017,12-Chicago,Homewood,
209806,11/8/2017,12-Chicago,Chicago,
209807,11/8/2017,12-Chicago,Riverdale,
209808,11/8/2017,12-Chicago,University Park,
209809,11/8/2017,12-Chicago,chicago,
209810,11/8/2017,12-Chicago,Chicago Heights,
209811,11/8/2017,12-Chicago,Riverdale,
209812,11/8/2017,12-Chicago,Hazel Crest,
209813,11/8/2017,12-Chicago,University Park,
209814,11/8/2017,06-Akron,Canton ,Friend/Relative Referral
209815,11/9/2017,05-Elyria,elyria,Friend/Relative Referral
209816,11/9/2017,11-Florence,erlanger,Walk-In
209818,11/9/2017,06-Akron,Akron,Craigslist
209819,11/9/2017,03-Independence,,Advanced Careers
209820,11/9/2017,14-Louisville,Bardstown,Friend/Relative Referral
209821,11/9/2017,14-Louisville,Bardstown,Friend/Relative Referral
209822,11/9/2017,05-Elyria,Lorain ,Indeed
209823,11/9/2017,07-Columbus East,COLUMBUS,Friend/Relative Referral
209824,11/9/2017,14-Louisville,Louisville,Craigslist
209825,11/9/2017,08-Columbus West,Columbus,Walk-In
209826,11/9/2017,14-Louisville,New Albany,Indeed
209827,11/9/2017,11-Florence,Elsmere,Walk-In
209828,11/9/2017,08-Columbus West,Columbus,Friend/Relative Referral
209829,11/9/2017,03-Independence,Cleveland,Indeed
209830,11/9/2017,14-Louisville,Mt WASHINGTON,Craigslist
209831,11/9/2017,06-Akron,Akron,Craigslist
209832,11/9/2017,11-Florence,Cincinnati,Walk-In
209833,11/9/2017,05-Elyria,ELYRIA,Walk-In
209834,11/9/2017,05-Elyria,Sheffield Lake,Indeed
209835,11/9/2017,05-Elyria,Lorain,Indeed
209836,11/9/2017,14-Louisville,Louisville,Craigslist
209837,11/9/2017,03-Independence,CLEVELAND,Craigslist
209838,11/9/2017,08-Columbus West,columbus,Walk-In
209839,11/9/2017,06-Akron,Akron,Friend/Relative Referral
209840,11/9/2017,03-Independence,garfield heights,Friend/Relative Referral
209841,11/9/2017,03-Independence,Garfield Heights  OH,Indeed
209842,11/9/2017,07-Columbus East,canal winchester ,Indeed
209843,11/9/2017,06-Akron,Brunswick Hills,
209844,11/9/2017,07-Columbus East,dublin,Walk-In
209845,11/9/2017,03-Independence,warrensville hts,Indeed
209846,11/9/2017,05-Elyria,Elyria,Walk-In
209847,11/9/2017,03-Independence,cleveland,Walk-In
209848,11/9/2017,06-Akron,Akron,Walk-In
209849,11/9/2017,14-Louisville,mt washington,Craigslist
209850,11/9/2017,14-Louisville,Elizabethtown,Indeed
209851,11/9/2017,14-Louisville,Elizabethtown,Indeed
209852,11/9/2017,06-Akron,akron,Friend/Relative Referral
209853,11/9/2017,03-Independence,CLEVERLAND,
209854,11/9/2017,07-Columbus East,Canal Winchester,Indeed
209855,11/9/2017,06-Akron,akron,Indeed
209857,11/9/2017,14-Louisville,Rineyville,Friend/Relative Referral
209859,11/9/2017,12-Chicago,Harvey,
209860,11/9/2017,05-Elyria,lorain,Friend/Relative Referral
209861,11/9/2017,14-Louisville,Louisville,Friend/Relative Referral
209862,11/9/2017,09-Lancaster,Lancaster,Other web site
209863,11/9/2017,14-Louisville,Louisville,Walk-In
209864,11/9/2017,03-Independence,CLEVELAND,Walk-In
209865,11/9/2017,06-Akron,akron,
209866,11/9/2017,03-Independence,Cleveland,Walk-In
209867,11/9/2017,12-Chicago,Chicago,Friend/Relative Referral
209868,11/9/2017,14-Louisville,west point,Craigslist
209869,11/9/2017,12-Chicago,Chicago,Indeed
209870,11/9/2017,03-Independence,Maple heights,Indeed
209871,11/9/2017,12-Chicago,chicago,Indeed
209872,11/9/2017,14-Louisville,West Point,Craigslist
209873,11/9/2017,06-Akron,Akron,Indeed
209874,11/9/2017,03-Independence,North Royalton,Craigslist
209875,11/9/2017,14-Louisville,Crestwood,Craigslist
209876,11/9/2017,06-Akron,Canton,Friend/Relative Referral
209877,11/9/2017,08-Columbus West,Hilliard,Friend/Relative Referral
209878,11/9/2017,12-Chicago,Riverdale,
209879,11/9/2017,12-Chicago,Country Club Hills,
209880,11/9/2017,12-Chicago,Richton Park,
209881,11/9/2017,12-Chicago,Richton Park,
209882,11/9/2017,03-Independence,South Euclid,Walk-In
209883,11/9/2017,08-Columbus West,columbus,Walk-In
209884,11/9/2017,12-Chicago,Bolingbrook,Indeed
209885,11/9/2017,12-Chicago,Steger,
209886,11/9/2017,14-Louisville,Louisville,Craigslist
209887,11/9/2017,09-Lancaster,Lancaster,Other web site
209888,11/9/2017,14-Louisville,Louisville,Craigslist
209889,11/9/2017,12-Chicago,Chicago Heights,
209890,11/9/2017,12-Chicago,University Park,
209891,11/9/2017,03-Independence,Euclid,Friend/Relative Referral
209892,11/9/2017,03-Independence,Maple Heights,Friend/Relative Referral
209893,11/9/2017,12-Chicago,Chicago Heights,
209894,11/9/2017,10-West Chester,cinti,Zip Recruiter
209895,11/9/2017,12-Chicago,Cicero ,Walk-In
209896,11/9/2017,12-Chicago,Chicago,
209897,11/9/2017,03-Independence,Cleveland oh,Indeed
209898,11/9/2017,11-Florence,cincinnati,Walk-In
209899,11/9/2017,12-Chicago,Chicago,
209900,11/9/2017,12-Chicago,chicago,Other web site
209901,11/9/2017,14-Louisville,jeffersonville,Indeed
209902,11/9/2017,12-Chicago,Chicago,
209903,11/9/2017,12-Chicago,Chicago,
209904,11/9/2017,12-Chicago,Cicero,Walk-In
209905,11/9/2017,10-West Chester,Trenton,Zip Recruiter
209906,11/9/2017,12-Chicago,Chicago,
209907,11/9/2017,12-Chicago,Chicago,
209908,11/9/2017,12-Chicago,Chicago,
209909,11/9/2017,12-Chicago,Alsip,
209910,11/9/2017,12-Chicago,Cicero,
209911,11/9/2017,06-Akron,Akron,
209912,11/9/2017,12-Chicago,Chicago,
209913,11/9/2017,11-Florence,Cincinnati,Friend/Relative Referral
209914,11/9/2017,14-Louisville,Louisville,Newspaper Ad
209915,11/9/2017,14-Louisville,Shepherdsville,Craigslist
209916,11/9/2017,06-Akron,Akron,
209917,11/9/2017,03-Independence,Cleveland ,Other web site
209918,11/9/2017,09-Lancaster,Columbus ,Other web site
209919,11/9/2017,08-Columbus West,Columbus,Friend/Relative Referral
209920,11/9/2017,11-Florence,Newport,Newspaper Ad
209921,11/10/2017,11-Florence,CINCINNATI,Friend/Relative Referral
209922,11/10/2017,03-Independence,cleveland,Walk-In
209924,11/10/2017,08-Columbus West,Columbus,Advanced Careers
209925,11/10/2017,03-Independence,Maple Hts,Walk-In
209926,11/10/2017,09-Lancaster,Lancaster,Indeed
209927,11/10/2017,09-Lancaster,lancaster,
209928,11/10/2017,06-Akron,akron,Newspaper Ad
209929,11/10/2017,08-Columbus West,columbus,Walk-In
209930,11/10/2017,11-Florence,Florence,Walk-In
209931,11/10/2017,14-Louisville,louisville,Friend/Relative Referral
209932,11/10/2017,06-Akron,cuyahoga falls,Indeed
209933,11/10/2017,03-Independence,Cleveland,Indeed
209935,11/10/2017,14-Louisville,Louisville,Craigslist
209936,11/10/2017,08-Columbus West,hilliard,Friend/Relative Referral
209937,11/10/2017,09-Lancaster,Brookeville,Other web site
209938,11/10/2017,03-Independence,CLEVELAND ,Indeed
209939,11/10/2017,14-Louisville,Louisville,Walk-In
209940,11/10/2017,03-Independence,CLEVELAND,Indeed
209941,11/10/2017,05-Elyria,LORAIN,Walk-In
209942,11/10/2017,03-Independence,Bedford Hts,Indeed
209943,11/10/2017,07-Columbus East,columbus,Friend/Relative Referral
209944,11/10/2017,05-Elyria,ELYRIA,Indeed
209945,11/10/2017,14-Louisville,Louisville,Other web site
209946,11/10/2017,03-Independence,Cleveland,Zip Recruiter
209947,11/10/2017,09-Lancaster,lancaster,Indeed
209948,11/10/2017,14-Louisville,Louisville,Craigslist
209949,11/10/2017,14-Louisville,louisville,Indeed
209950,11/10/2017,05-Elyria,lorain,
209951,11/10/2017,11-Florence,Mt. Washington ,Craigslist
209952,11/10/2017,11-Florence,Covington ,Indeed
209953,11/10/2017,03-Independence,Mayfield Heights,Indeed
209954,11/10/2017,06-Akron,Akron,Friend/Relative Referral
209955,11/10/2017,10-West Chester,cincinnati,Craigslist
209956,11/10/2017,07-Columbus East,columbus ,Newspaper Ad
209957,11/10/2017,07-Columbus East,columbus,Walk-In
209958,11/10/2017,03-Independence,Cleveland,Zip Recruiter
209959,11/10/2017,03-Independence,,Advanced Careers
209960,11/10/2017,06-Akron,Akron,Indeed
209961,11/10/2017,11-Florence,cincinnati,Friend/Relative Referral
209962,11/10/2017,09-Lancaster,Lancaster,Craigslist
209963,11/10/2017,11-Florence,Covington,Friend/Relative Referral
209964,11/10/2017,11-Florence,Florence,Craigslist
209965,11/10/2017,11-Florence,florence,Other web site
209966,11/10/2017,11-Florence,cincinnati,
