,Date,Name,Split,Amount,Total Spent,,,,,,,Name,Amount
,8/7/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/7/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,45,,,,,,,,CraigsList,45
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,45,,,,,,,,CraigsList,45
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,90,,,,,,,,CraigsList,90
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,45,,,,,,,,CraigsList,45
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2063 · Fidelity Visa Signature Card,45,,,,,,,,CraigsList,45
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/9/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
