AIdent,Hours_Worked
185273,53
185273,3.5
185275,136.75
185275,498
185276,5
185278,8.08
185279,55.5
185279,5
185280,445.5
185280,310.25
185281,165.25
185282,73
185283,92.5
185283,208.75
185283,296.25
185284,30.25
185285,426
185285,513.5
185286,416
185286,519
185289,105.59
185290,39.5
185290,32
185290,33.5
185290,19.5
185292,15.25
185296,198
185296,158
185298,5
185299,5
185304,16.34
185305,155
185306,8.08
185307,39
185308,622.2
185308,139.2
185308,291.8
185309,10
185310,56.75
185313,7.9
185316,3
185317,10.39
185321,1
185324,195.25
185324,19.43
185324,35.87
185324,5.57
185325,8
185325,8.5
185325,13.46
185325,24
185327,42.2
185329,22.5
185330,10
185334,1
185335,37.5
185339,49.33
185341,558.25
185341,279.24
185343,46.75
185343,7.5
185343,68.1
185344,46.5
185344,7.5
185344,69.7
185344,20.75
185348,772
185351,27.85
185352,7.5
185362,27.93
185363,6.75
185363,98.3
185366,707.03
185367,709.75
185369,298.8
185371,8
185373,49.75
185374,77.6
185376,55
185376,65
185377,25.25
185377,255
185377,55.25
185377,451
185379,53.7
185380,335.85
185380,196.04
185384,80
185384,923
185388,34.25
185388,127.75
185388,152
185388,36
185388,260
185391,55.75
185391,8
185391,48.01
185393,1047
185395,307.32
185395,206.5
185395,9.93
185396,17.25
185397,265
185397,67.5
185397,24.5
185399,59.5
185399,103.75
185400,32
185400,93
185404,52.18
185404,29.52
185404,8.23
185405,56.25
185405,70
185407,528
185410,29.75
185414,439
185415,105
185415,41.2
185415,119.5
185415,68
185417,5
185417,854
185422,13
185424,897.4
185427,5
185428,24
185429,18
185431,32
185433,18.55
185434,20.64
185435,40
185435,50
185435,1149
185436,161.66
185436,71.75
185437,8
185440,8
185441,80
185443,234.25
185443,21.71
185443,50.51
185443,43
185443,113.72
185445,12.85
185452,104
185452,215
185453,14.34
185453,15.75
185455,96.87
185463,16.82
185463,66.47
185464,57.8
185466,1104.75
185467,990
185470,985.5
185471,5
185475,11.25
185491,0
185491,1.25
