,Item_ID,AIdent,Branch,How_Heard,Profit
164,674839,208708,11-Florence,Other web site,256.68
165,670730,208768,11-Florence,Zip Recruiter,1442.3184
166,668981,208768,11-Florence,Zip Recruiter,112.512
167,670738,208791,11-Florence,,1238.6112
168,669159,208791,11-Florence,,74.496
169,670739,208866,11-Florence,,1512.1552
170,669160,208866,11-Florence,,152.64
171,674840,208866,11-Florence,,1491.456
172,670750,208873,11-Florence,Indeed,755.7552
173,669347,208873,11-Florence,Indeed,75.312
174,670756,208916,11-Florence,Friend/Relative Referral,176.4272
175,669352,208916,11-Florence,Friend/Relative Referral,151.344
176,670759,208917,11-Florence,Friend/Relative Referral,1401.2496
177,669354,208917,11-Florence,Friend/Relative Referral,150.24
178,674841,208917,11-Florence,Friend/Relative Referral,753.6384
179,670769,208928,11-Florence,Friend/Relative Referral,217.496
180,669450,208928,11-Florence,Friend/Relative Referral,59.424
181,670774,208939,11-Florence,Friend/Relative Referral,720.4896
182,669453,208939,11-Florence,Friend/Relative Referral,36.864
183,670776,208949,11-Florence,Walk-In,603.2352
184,669455,208949,11-Florence,Walk-In,48.72
185,670754,209035,11-Florence,Walk-In,238.1792
186,669350,209035,11-Florence,Walk-In,123.984
187,676935,209035,11-Florence,Walk-In,195.1092
188,675418,209035,11-Florence,Walk-In,130.5568
189,670757,209036,11-Florence,Newspaper Ad,246.3136
190,669353,209036,11-Florence,Newspaper Ad,124.176
191,676934,209036,11-Florence,Newspaper Ad,196.02
192,675421,209036,11-Florence,Newspaper Ad,130.8736
193,670752,209050,11-Florence,Walk-In,98.3568
194,669349,209050,11-Florence,Walk-In,99.408
195,678307,209050,11-Florence,Walk-In,66.5088
196,670764,209051,11-Florence,Friend/Relative Referral,470.952
197,669359,209051,11-Florence,Friend/Relative Referral,99.696
198,670748,209055,11-Florence,Walk-In,847.2672
199,669346,209055,11-Florence,Walk-In,118.464
200,670760,209077,11-Florence,Friend/Relative Referral,20.584
201,669355,209077,11-Florence,Friend/Relative Referral,113.376
202,669599,209149,11-Florence,,165.0688
203,670989,209156,11-Florence,Friend/Relative Referral,844.7376
204,669602,209191,11-Florence,Other web site,1114.6112
205,670781,209239,11-Florence,Friend/Relative Referral,1173.5856
206,669508,209239,11-Florence,Friend/Relative Referral,75.12
207,674843,209239,11-Florence,Friend/Relative Referral,433.2672
208,677964,209239,11-Florence,Friend/Relative Referral,264.352
209,669595,209341,11-Florence,Craigslist,502.8944
210,669600,209399,11-Florence,Friend/Relative Referral,423.7328
211,670870,209403,10-West Chester,Friend/Relative Referral,1183.9024
212,674845,209403,10-West Chester,Friend/Relative Referral,1364.928
213,670875,209439,11-Florence,Craigslist,132.8784
214,674228,209439,11-Florence,Craigslist,61.38
215,670990,209520,11-Florence,Walk-In,150.9328
216,672134,209520,11-Florence,Walk-In,8.26
217,670869,209529,11-Florence,,1137.576
218,674844,209529,11-Florence,,292.224
219,670377,209558,11-Florence,,279.992
220,670874,209623,11-Florence,Craigslist,367.5856
221,670879,209638,11-Florence,Friend/Relative Referral,198.5984
222,670310,209697,11-Florence,Friend/Relative Referral,496.5952
223,670311,209755,11-Florence,Friend/Relative Referral,620.3472
224,670380,209898,11-Florence,Walk-In,491.9824
225,670873,209964,11-Florence,Craigslist,139.624
226,676553,209964,11-Florence,Craigslist,156.8574
227,670877,209965,11-Florence,Other web site,185.3552
228,670872,209973,11-Florence,Friend/Relative Referral,1313.3088
229,674846,209973,11-Florence,Friend/Relative Referral,125.3268
230,671292,210049,10-West Chester,Craigslist,234.3104
231,671191,210066,11-Florence,Indeed,270.32
232,673042,210066,11-Florence,Indeed,23.1
233,673962,210066,11-Florence,Indeed,29.92
234,671189,210067,11-Florence,Craigslist,229.9952
235,673038,210067,11-Florence,Craigslist,23.1
236,673963,210067,11-Florence,Craigslist,29.92
